Subscriber_Status,Year,Quarter,Total_Spend,Subscriber_Count,Avg_Spend,Prop_LTV
Non-Subscriber,2018,,89657.23,1076,83.324563197,
Subscriber,2018,,186623.6,625,298.59776,
Non-Subscriber,2019,,248558.87,3432,72.42391317,
Subscriber,2019,,859773.5,2433,353.379983559,
Non-Subscriber,2020,,401333.3,8884,45.174842413,
Subscriber,2020,,1301685.6,4014,324.286397608,
Non-Subscriber,2021,,673009.49,9729,69.175607976,
Subscriber,2021,,1595071.72,4898,325.657762352,
Non-Subscriber,2022,,405575.85,5812,69.782493118,
Subscriber,2022,,1334972.54,4140,322.457135266,
Non-Subscriber,2023,,102678.99,1313,78.201820259,
Subscriber,2023,,324492.97,976,332.472305328,